"CP","NEGATIVE","NEUTRAL","POSITIVE","SENTIMENT"
"A",12,96,10,"Neutral"
"A A",1,13,2,"Neutral"
"A A A A",1,6,1,"Neutral"
"A A A A D D D D",1,2,0,"Neutral"
"A A D D",1,0,1,"Negative"
"A A D D D",0,1,0,"Neutral"
"A A D D D D",1,0,0,"Negative"
"A A E",1,1,0,"Negative"
"A Bm",3,7,8,"Positive"
"A Bm G D",8,4,3,"Negative"
"A Bm G D D A",0,0,3,"Positive"
"A D",1,5,7,"Positive"
"A D A",0,0,2,"Positive"
"A D C",1,1,1,"Negative"
"A D C#",0,0,2,"Positive"
"A D D D",0,1,0,"Neutral"
"A D D D D",0,1,0,"Neutral"
"A Dm C",1,0,0,"Negative"
"A E",1,15,5,"Neutral"
"A E G",0,8,0,"Neutral"
"A Em",2,13,1,"Neutral"
"A Em Bm",0,0,4,"Positive"
"A F#",0,2,0,"Neutral"
"A G",0,17,9,"Neutral"
"Ab Bb C",0,1,0,"Neutral"
"Ab Eb",0,0,6,"Positive"
"Am",36,127,37,"Neutral"
"Am A",0,5,0,"Neutral"
"Am A F",0,9,0,"Neutral"
"Am Am",1,1,0,"Negative"
"Am B",6,24,4,"Neutral"
"Am B C",0,1,0,"Neutral"
"Am B C D",1,1,0,"Negative"
"Am Bb",2,2,1,"Negative"
"Am Bm C",2,4,3,"Neutral"
"Am C",23,38,14,"Neutral"
"Am C Am",0,1,0,"Neutral"
"Am C Am C",0,5,0,"Neutral"
"Am C Am C Am C Am C",1,1,0,"Negative"
"Am C B C",0,1,0,"Neutral"
"Am C Dm Am Am Am Am Am",0,3,0,"Neutral"
"Am C Dm Am Am Am Am Am Am",0,1,0,"Neutral"
"Am C Em",0,8,0,"Neutral"
"Am C G",3,1,3,"Negative"
"Am C G D",6,2,0,"Negative"
"Am C G D Am",0,2,0,"Neutral"
"Am D",3,10,3,"Neutral"
"Am D D",1,0,0,"Negative"
"Am D Em",1,0,1,"Negative"
"Am Dm",0,17,1,"Neutral"
"Am Dm Em",0,1,1,"Neutral"
"Am Dm G",0,5,0,"Neutral"
"Am Dm G C",0,0,2,"Positive"
"Am Em",4,32,23,"Neutral"
"Am Em D",0,0,2,"Positive"
"Am F",3,46,5,"Neutral"
"Am F C",12,6,5,"Negative"
"Am F C G",2,0,0,"Negative"
"Am F Dm Am Am",1,0,0,"Negative"
"Am F Em C-G",1,3,0,"Neutral"
"Am F G",1,1,3,"Positive"
"Am F G Em",0,1,0,"Neutral"
"Am G",16,18,11,"Neutral"
"Am G Am",0,7,0,"Neutral"
"Am G Am G",2,2,0,"Negative"
"Am G Am G Am G Am G",2,1,3,"Positive"
"Am G C",0,3,0,"Neutral"
"Am G C D",1,1,0,"Negative"
"Am G C E",5,3,0,"Negative"
"Am G C E F Dm",1,0,0,"Negative"
"Am G C F",4,3,0,"Negative"
"Am G D",0,1,0,"Neutral"
"Am G F",1,10,6,"Neutral"
"Am G F C",0,3,3,"Neutral"
"Am G F C Dm G C",0,0,5,"Positive"
"Am G F E Dm G C",0,0,5,"Positive"
"Am G F G",2,14,0,"Neutral"
"Am G F G Am G Am G",0,1,0,"Neutral"
"B",2,5,2,"Neutral"
"B Am",0,0,1,"Positive"
"B D C",4,2,1,"Negative"
"B D Em",0,3,1,"Neutral"
"B D Em B",0,1,1,"Neutral"
"B D Em B D",0,7,1,"Neutral"
"B Em",0,3,0,"Neutral"
"Bb",1,1,2,"Positive"
"Bb A",2,0,0,"Negative"
"Bb F",0,1,1,"Neutral"
"Bm",17,55,13,"Neutral"
"Bm A",5,3,1,"Negative"
"Bm A E",0,1,1,"Neutral"
"Bm A Em",0,9,0,"Neutral"
"Bm A G",0,5,0,"Neutral"
"Bm C",1,3,0,"Neutral"
"Bm D",0,1,1,"Positive"
"Bm D G",0,0,1,"Positive"
"Bm Em",2,6,1,"Neutral"
"Bm Em A",0,2,0,"Neutral"
"Bm Em A D",0,1,0,"Neutral"
"Bm Em F#m G Bm",0,3,0,"Neutral"
"Bm Em F#m G D Bm",0,3,0,"Neutral"
"Bm Em F#m G D Em",0,3,3,"Positive"
"Bm G",6,28,1,"Neutral"
"Bm G A",0,2,2,"Neutral"
"Bm G A Em",0,0,5,"Positive"
"Bm G D",8,15,6,"Neutral"
"Bm G D A",2,10,0,"Neutral"
"Bm G D A Bm G D A",0,2,0,"Neutral"
"Bm G D F#",2,0,0,"Negative"
"C",66,189,41,"Neutral"
"C Am",4,22,1,"Neutral"
"C Am Dm G",0,0,6,"Positive"
"C Am Dm G C",0,2,0,"Neutral"
"C Am Dm G C Am",0,1,0,"Neutral"
"C Am E",8,12,0,"Neutral"
"C Am Em",2,2,0,"Negative"
"C Am G C D",0,1,0,"Neutral"
"C B Am",7,3,0,"Negative"
"C B D",0,3,0,"Neutral"
"C B D Em B",0,5,0,"Neutral"
"C B D Em B D",0,2,0,"Neutral"
"C B Em C B Em",0,2,2,"Neutral"
"C B Em C D Am",0,4,0,"Neutral"
"C Bb",0,3,0,"Neutral"
"C Bb F",0,3,0,"Neutral"
"C Bm Bm E",0,24,0,"Neutral"
"C C",0,6,0,"Neutral"
"C C Em C C Em",0,2,2,"Neutral"
"C C Em C D Am",0,4,0,"Neutral"
"C C F G",3,4,2,"Neutral"
"C C F G C C",0,0,1,"Positive"
"C C F G C C F G",0,0,2,"Positive"
"C D",18,38,10,"Neutral"
"C D Am",0,32,6,"Neutral"
"C D Em",2,3,0,"Neutral"
"C D Em D",3,18,5,"Neutral"
"C D Em Em",0,1,1,"Neutral"
"C D G Em",8,4,1,"Negative"
"C Dm",3,4,0,"Neutral"
"C Dm Am Am Am Am Am",1,1,0,"Negative"
"C Dm Am Am Am Am Am Am",0,0,2,"Positive"
"C Dm Am F",0,0,2,"Positive"
"C Dm Am G Am G Am",1,1,0,"Negative"
"C Dm Am G Am G Am G",0,0,2,"Positive"
"C Dm Bb F",0,6,3,"Neutral"
"C E",0,7,0,"Neutral"
"C E F G",3,4,2,"Neutral"
"C E F G C E",0,0,1,"Positive"
"C E F G C E F G",0,0,2,"Positive"
"C Em",2,5,3,"Neutral"
"C Em Am",8,54,11,"Neutral"
"C Em Am F",0,1,1,"Neutral"
"C Em D",2,4,5,"Positive"
"C Em D C",1,3,0,"Neutral"
"C Em D G Em B",0,0,1,"Positive"
"C Em F# C",1,3,0,"Neutral"
"C Em G C",2,0,0,"Negative"
"C Em G D C",0,1,0,"Neutral"
"C F",11,23,25,"Positive"
"C F Am G",0,4,6,"Positive"
"C F Em F",0,3,0,"Neutral"
"C F G",3,8,7,"Neutral"
"C G",13,31,14,"Negative"
"C G Am",8,8,0,"Neutral"
"C G Am C G Am",0,2,2,"Neutral"
"C G Am F",0,12,0,"Neutral"
"C G C",0,0,8,"Positive"
"C G D",0,2,0,"Neutral"
"C G D A",1,0,0,"Negative"
"C G D Am",0,3,1,"Positive"
"C G D Em D",3,14,9,"Neutral"
"C G Em",7,0,0,"Negative"
"C G Em D C",6,6,0,"Negative"
"C G Em G D Am C G",0,0,1,"Positive"
"C G F# A",1,0,0,"Negative"
"Cm",3,12,19,"Positive"
"Cm Bb",3,0,0,"Negative"
"Cm G",0,1,3,"Positive"
"D",58,137,45,"Neutral"
"D A",17,39,12,"Neutral"
"D A A",1,0,0,"Negative"
"D A A A",0,1,0,"Neutral"
"D A Bm",0,1,3,"Positive"
"D A Bm G",0,6,12,"Positive"
"D A D",0,1,0,"Neutral"
"D Am",2,3,4,"Neutral"
"D Am C",0,2,0,"Neutral"
"D Bm",0,8,3,"Neutral"
"D C",4,4,2,"Negative"
"D C B",0,1,0,"Neutral"
"D C#",3,2,1,"Negative"
"D D",0,5,8,"Positive"
"D D A A",0,1,0,"Neutral"
"D D D",0,1,0,"Neutral"
"D D D D",4,4,1,"Negative"
"D E",0,0,3,"Positive"
"D Em",3,28,6,"Neutral"
"D Em B",0,1,0,"Neutral"
"D Em B D",1,0,0,"Negative"
"D G",0,3,11,"Positive"
"D G Em C",3,0,0,"Negative"
"Dm",25,19,18,"Negative"
"Dm Am",0,1,2,"Positive"
"Dm Bb F",0,3,0,"Neutral"
"Dm C",0,2,0,"Neutral"
"Dm C B",3,7,0,"Neutral"
"Dm C Bb",0,1,0,"Neutral"
"Dm C G",3,7,0,"Neutral"
"Dm Dm",2,0,0,"Negative"
"Dm Dm Bb A",0,1,0,"Neutral"
"Dm Dm G",0,2,0,"Neutral"
"Dm G",0,18,0,"Neutral"
"Dm G Am",1,5,4,"Neutral"
"Dm G C",0,3,0,"Neutral"
"Dm G C Am",0,3,0,"Neutral"
"Dm G Dm",0,1,0,"Neutral"
"Dm G Dm G",6,0,0,"Negative"
"E",2,24,2,"Neutral"
"E A",0,2,1,"Neutral"
"E A B A",2,5,17,"Positive"
"E Am",4,0,0,"Negative"
"E B A",0,1,3,"Positive"
"E F",0,2,0,"Neutral"
"E F#",7,4,0,"Negative"
"E F# B",0,1,0,"Neutral"
"E F# G#m",0,1,0,"Neutral"
"E#",0,1,0,"Neutral"
"Eb",0,0,1,"Positive"
"Eb F",6,7,1,"Neutral"
"Em",44,192,34,"Neutral"
"Em A",0,1,1,"Neutral"
"Em Am",4,3,1,"Negative"
"Em B",1,0,0,"Negative"
"Em B D",0,8,1,"Neutral"
"Em B D Em",5,2,0,"Negative"
"Em Bm",8,6,0,"Negative"
"Em Bm A",0,4,0,"Neutral"
"Em C",15,35,20,"Neutral"
"Em C D G",0,1,0,"Neutral"
"Em C G",1,6,0,"Neutral"
"Em C G D",8,19,20,"Positive"
"Em C G D Em C",0,1,0,"Neutral"
"Em C G D Em C G D",0,1,0,"Neutral"
"Em C G D Em G D C Em",0,1,0,"Neutral"
"Em D",14,22,16,"Neutral"
"Em D A",0,4,0,"Neutral"
"Em D A D",2,0,0,"Negative"
"Em D A D D",2,2,0,"Negative"
"Em D Am",9,19,8,"Neutral"
"Em D Am C",1,5,2,"Neutral"
"Em D Bm C",0,1,0,"Neutral"
"Em D Bm C Em D Bm C",1,0,0,"Negative"
"Em D C",0,7,0,"Neutral"
"Em D C# D",2,0,0,"Negative"
"Em D C# D D",2,2,0,"Negative"
"Em Em A B A",2,3,3,"Neutral"
"Em F",0,0,3,"Positive"
